Age,Tenure,Income,Claims,Current_Plan_Premium Plan,Current_Plan_Standard Plan,Subscription_Status_Inactive
57,21,48821,4,False,True,True
38,16,62567,1,False,True,False
33,29,140374,4,False,True,False
62,23,49860,3,False,False,True
35,5,46195,0,True,False,False
64,18,102475,2,False,True,True
41,29,115874,0,True,False,True
43,24,112266,10,False,False,False
42,1,46427,4,False,True,False
62,14,125732,3,True,False,True
58,10,52083,6,False,False,True
46,7,112046,4,True,False,True
32,25,82372,9,False,True,True
62,18,148786,3,False,True,False
18,12,69064,1,False,False,True
42,11,32813,3,False,False,True
24,4,56598,1,False,False,True
26,5,137718,7,True,False,False
41,25,118106,2,True,False,False
18,21,52082,8,True,False,True
61,3,54241,3,False,False,False
25,18,121214,5,False,True,False
41,19,69569,9,False,True,False
28,0,36745,4,True,False,True
68,19,51029,9,True,False,True
34,16,38025,0,False,True,False
25,11,126660,8,False,True,True
52,14,148395,0,True,False,True
52,0,39288,7,True,False,False
50,25,114186,8,False,True,False
22,13,31540,8,False,False,True
59,5,122768,0,True,False,False
56,4,106958,1,False,True,True
58,29,93878,0,False,True,True
45,10,66846,9,False,True,False
24,30,126148,1,False,True,True
26,3,100932,9,False,False,True
25,12,42482,7,False,True,False
29,10,48411,4,True,False,False
51,2,75975,10,False,False,False
50,0,85545,6,False,True,True
65,5,137302,1,False,False,False
40,17,103797,7,True,False,False
41,23,77307,10,False,True,False
54,9,28093,5,True,False,False
52,4,102258,7,False,True,True
61,22,47042,0,False,True,True
57,9,77930,0,False,True,False
39,11,142584,6,False,True,True
44,1,69413,7,False,True,False
52,12,138387,2,False,False,False
18,7,118623,4,False,True,True
52,1,122883,0,False,True,True
54,19,58756,6,False,False,False
64,0,78268,4,False,False,False
31,30,64214,7,False,False,True
20,4,106871,7,False,False,False
18,8,53602,8,False,False,True
22,16,78331,6,False,False,False
43,8,73901,10,False,True,False
31,10,124986,0,False,True,True
56,14,88416,2,True,False,True
44,23,57196,7,False,True,True
26,5,30626,2,False,True,True
32,22,32424,7,False,False,True
32,2,37857,0,False,False,True
43,29,135459,4,False,True,True
59,30,140621,3,True,False,False
30,16,44982,4,False,False,False
68,4,101961,7,False,True,False
49,29,26980,9,False,True,True
56,27,73290,3,True,False,True
66,11,51431,10,True,False,True
69,17,109976,3,False,False,False
49,13,132288,2,True,False,True
21,20,107711,6,False,True,True
47,23,139187,2,False,True,False
54,10,51385,2,True,False,True
40,8,63158,10,True,False,False
56,1,48019,9,True,False,False
62,11,43639,4,True,False,True
32,2,110530,4,False,False,True
60,2,124911,5,True,False,True
46,0,46563,7,False,False,False
53,7,64341,9,False,True,False
30,21,140672,5,True,False,False
49,27,30776,0,False,False,True
24,28,61444,7,True,False,True
68,7,93916,7,False,True,True
39,10,33711,8,False,True,True
45,8,99318,8,False,True,False
19,4,107970,1,True,False,False
59,13,137301,1,True,False,False
62,27,110553,2,False,False,False
23,29,55707,0,False,True,True
45,2,64110,3,True,False,True
45,20,86788,3,False,True,True
61,4,107879,8,False,True,False
61,4,63827,8,False,False,False
37,18,132188,8,False,False,True
47,26,30655,9,False,False,True
28,13,69859,6,False,False,False
45,25,78625,1,False,True,True
42,29,77098,9,False,False,False
56,3,40251,4,False,False,False
50,24,147413,3,False,False,False
18,12,25526,10,False,False,True
44,9,93760,7,False,True,True
69,24,72837,1,False,False,False
30,17,36536,5,False,True,True
58,7,53541,4,True,False,False
20,7,104083,1,False,True,False
56,6,76027,10,False,True,False
23,7,59531,9,False,False,False
25,13,33712,0,True,False,True
44,18,129101,7,True,False,False
26,28,90455,1,True,False,False
54,5,99744,6,True,False,True
50,0,146787,8,False,True,False
68,22,30109,8,True,False,False
59,30,146332,7,False,True,True
61,14,74268,10,False,True,True
41,0,125737,9,False,True,True
32,24,79615,8,True,False,False
49,16,107503,1,False,False,True
49,0,148274,5,False,False,True
41,14,54759,3,True,False,False
58,22,110708,3,False,False,False
69,1,85112,4,False,False,False
66,13,127471,2,False,True,False
66,20,148153,0,False,True,False
69,7,51589,7,True,False,True
29,7,55015,4,True,False,True
56,18,54009,2,False,False,True
19,6,108309,9,False,True,False
20,18,87046,6,True,False,False
66,5,131661,6,True,False,False
54,5,51143,0,True,False,True
66,2,31154,8,True,False,True
34,6,46804,1,True,False,False
66,18,66688,4,True,False,True
19,7,89288,4,False,False,False
19,9,76195,7,False,True,True
45,19,45581,7,False,True,True
40,14,77648,6,True,False,True
54,14,55087,6,False,True,False
49,28,74930,10,False,True,True
50,0,57981,5,False,True,True
18,19,94298,5,True,False,False
36,29,71167,10,True,False,True
19,6,100304,8,False,True,False
61,26,68408,5,False,True,False
43,3,64499,1,True,False,False
49,28,77269,1,False,False,False
23,5,63559,4,False,True,False
49,24,139126,3,False,False,True
21,0,99319,10,False,True,False
28,28,136925,1,False,False,False
34,4,120317,2,False,False,False
55,26,121347,6,False,False,False
41,22,73787,7,True,False,True
22,0,60488,5,False,False,False
69,29,99441,10,False,False,True
51,3,99663,4,False,False,False
23,21,47431,0,False,True,True
39,1,86681,7,False,False,False
28,9,88483,2,False,True,False
65,4,147720,5,False,False,True
33,26,74153,2,False,False,False
50,9,31368,6,True,False,True
26,0,52424,6,False,True,False
23,21,137360,8,False,False,True
33,5,70004,4,False,True,False
46,12,108869,7,False,True,False
20,30,113652,9,True,False,True
37,14,137755,9,True,False,False
53,3,81985,7,True,False,False
36,12,75069,0,True,False,False
43,23,77326,4,True,False,False
20,19,133737,2,True,False,False
36,23,106061,0,True,False,False
37,14,48398,3,True,False,True
49,28,123393,7,False,False,True
24,7,75861,2,False,True,True
69,4,100897,9,True,False,False
58,28,106905,1,True,False,True
50,14,93577,10,False,True,False
57,3,90641,8,False,False,False
56,11,34078,9,False,True,False
35,12,50003,4,False,True,False
57,1,87768,6,True,False,True
18,26,76047,10,False,True,False
28,30,96626,10,False,True,True
45,18,82660,1,True,False,False
42,18,129386,8,True,False,True
67,3,74786,8,True,False,True
40,3,26925,3,True,False,True
48,25,108976,3,False,True,True
47,10,130221,5,False,True,True
59,26,142832,9,False,False,True
52,4,51015,9,False,False,False
24,19,58320,9,False,True,True
33,10,89881,5,False,False,False
43,29,115827,0,False,True,True
65,9,145071,8,False,False,False
69,7,127215,1,True,False,True
66,5,51289,4,False,False,True
19,5,28389,8,True,False,False
18,7,50683,3,True,False,True
65,22,38629,10,True,False,True
29,14,86550,2,True,False,True
22,25,49826,6,False,False,False
54,13,125734,5,False,True,True
49,10,51630,7,True,False,False
26,11,123762,2,False,False,True
58,25,71163,4,True,False,True
52,12,123511,9,False,False,False
36,7,91435,3,False,False,True
65,29,36653,3,False,False,True
33,17,52961,3,False,True,False
20,24,106941,9,False,False,True
37,0,99137,7,False,False,False
41,14,58662,5,False,True,False
50,7,123818,2,False,True,False
41,27,81446,9,False,False,True
69,10,46288,4,False,True,False
28,11,147555,5,True,False,False
66,11,120081,4,True,False,True
25,3,61877,5,False,True,False
53,15,136562,7,False,True,True
55,3,40313,6,False,False,True
57,4,105885,4,False,True,True
37,23,97715,9,False,False,True
52,4,35326,5,True,False,False
65,7,135091,3,False,True,False
42,30,26560,8,False,False,False
52,9,104148,3,False,False,False
42,16,108186,0,True,False,False
46,27,51745,6,False,True,True
35,30,56890,6,True,False,False
63,25,45022,3,False,False,False
35,8,148629,2,False,False,False
19,21,77579,7,False,True,True
52,18,95316,4,False,False,True
33,28,108847,9,False,True,False
58,13,53380,6,True,False,True
53,7,135198,3,False,True,False
50,8,27356,3,False,True,False
21,21,95326,7,False,False,True
50,10,117447,7,False,False,True
31,22,139994,1,False,True,False
38,0,114899,1,False,False,False
65,13,45049,2,False,False,True
37,4,100717,2,False,False,False
25,20,130361,0,False,True,True
24,25,41082,2,False,False,False
20,13,25661,5,False,True,True
34,3,62412,7,False,False,False
50,21,139015,9,True,False,False
65,22,148191,5,False,False,True
29,24,27920,4,False,False,False
68,0,116194,3,False,True,False
39,30,139306,2,False,True,True
39,21,85315,3,False,False,False
63,22,104561,6,True,False,False
47,18,33946,0,False,False,False
55,7,119242,6,False,False,True
55,14,70500,0,True,False,True
62,20,129540,1,False,True,True
68,14,41309,3,False,False,False
25,8,80230,0,False,True,False
44,20,136822,10,False,True,False
44,8,123656,10,True,False,False
51,9,148782,10,True,False,True
38,19,55027,8,False,True,False
47,24,97541,5,False,False,False
50,20,137340,0,False,True,False
45,25,139846,0,False,False,True
64,8,84321,5,False,False,False
50,2,25956,3,True,False,False
22,30,125375,3,False,False,False
65,19,99131,10,False,False,False
36,24,72908,5,False,True,False
21,25,103339,10,True,False,True
52,10,50963,6,False,False,False
66,5,126757,8,False,False,False
34,1,64443,9,True,False,False
61,6,124259,4,False,True,False
45,17,64063,8,True,False,False
47,26,139225,3,True,False,False
46,1,141400,9,False,False,False
63,26,105818,1,False,False,False
23,16,29703,2,False,True,False
52,10,90128,10,False,False,False
58,26,97099,0,False,False,True
54,11,50849,5,True,False,True
41,26,56860,5,False,False,True
46,18,56585,0,False,True,True
66,21,47015,10,True,False,False
63,23,102539,2,False,True,True
48,24,68585,4,True,False,True
52,6,51958,2,False,False,False
50,19,51017,9,True,False,True
69,5,101707,2,True,False,True
38,20,149677,9,False,False,False
49,23,70350,2,False,False,False
40,0,37201,4,False,True,False
50,16,54426,4,False,True,True
20,28,42778,3,False,False,True
35,30,70241,0,False,False,False
42,10,67229,4,False,False,False
59,21,111652,9,True,False,True
48,25,143402,4,True,False,False
20,27,73364,3,True,False,True
57,17,123833,5,False,False,False
63,20,109878,9,False,True,False
41,16,82056,3,False,False,True
67,6,52490,6,True,False,False
49,16,44975,6,True,False,False
64,19,51723,1,False,False,False
39,8,48279,2,False,False,True
40,16,103301,0,True,False,False
19,19,137214,7,True,False,False
44,21,36561,8,True,False,False
59,21,132435,3,False,False,False
19,27,91061,5,True,False,False
43,30,113397,8,True,False,False
34,28,74153,5,False,True,True
57,7,58142,8,False,False,True
50,16,51916,3,False,True,False
26,6,89324,7,False,True,True
60,0,69965,8,True,False,True
65,12,29648,3,False,False,False
56,29,60133,4,True,False,True
46,22,75677,7,False,False,True
59,18,121059,9,False,True,True
43,26,119588,5,False,False,True
52,23,124950,6,True,False,True
67,18,123317,2,True,False,True
42,29,95135,6,True,False,True
41,29,60046,7,False,False,True
30,28,72064,9,False,True,False
24,16,126459,5,False,True,False
53,12,131625,9,False,False,True
62,28,94350,8,True,False,True
37,29,70893,5,False,True,False
18,15,126520,8,True,False,True
25,7,86272,3,False,False,True
63,18,117152,7,True,False,False
33,17,147907,10,False,True,False
31,0,92649,3,False,True,False
29,13,89674,1,True,False,True
68,18,149132,9,False,False,True
40,14,144044,10,True,False,False
32,17,133542,8,False,False,False
45,1,38760,4,True,False,True
51,21,46927,3,False,True,False
19,27,111475,1,False,False,True
49,16,86367,0,False,False,True
40,17,122955,10,False,False,False
39,29,37588,6,False,True,False
68,5,146750,5,True,False,True
42,18,126678,1,False,True,False
39,30,129734,7,False,False,False
39,3,143154,10,True,False,False
66,0,77233,3,False,True,False
69,7,69738,7,False,False,True
59,28,58397,6,False,False,True
23,22,107189,4,False,True,True
32,6,101367,9,False,True,True
60,2,149873,9,False,True,False
54,9,96260,7,False,False,False
50,9,145585,8,False,True,True
25,18,101619,4,False,False,True
61,13,136453,9,False,True,False
61,1,44816,4,False,False,True
22,27,67240,1,False,False,True
56,0,31276,4,True,False,False
21,22,138939,2,False,True,True
23,22,129199,6,False,True,False
62,27,104530,9,False,False,False
49,17,48499,4,False,False,True
69,6,113576,7,False,False,False
47,28,133856,0,True,False,True
64,7,107495,2,True,False,False
52,0,146717,2,False,False,True
57,24,96635,8,False,True,True
69,22,132803,4,False,True,True
33,2,110112,8,True,False,False
30,23,60946,8,True,False,False
67,22,80204,0,False,False,True
59,26,76886,1,False,True,False
47,30,96652,4,False,False,True
36,28,40563,3,True,False,True
34,7,117324,9,False,True,False
36,21,117464,8,False,True,True
45,24,126872,6,True,False,False
43,14,34847,5,False,False,True
54,4,51155,6,False,False,False
43,2,104671,0,False,True,True
40,18,141891,0,True,False,True
26,0,108310,7,False,True,False
29,27,92278,1,True,False,True
18,14,43309,9,False,False,True
18,7,25619,10,True,False,False
64,1,108194,8,False,False,True
51,2,75108,6,True,False,False
49,23,59707,5,False,True,True
65,13,45337,0,False,False,False
42,23,106537,0,False,True,True
57,13,91504,1,False,True,True
62,10,72614,5,False,False,True
18,15,116428,5,False,False,False
33,3,116155,1,False,True,False
56,19,25281,0,False,True,False
22,4,52420,9,False,True,False
39,21,105896,4,False,True,True
46,20,64030,4,False,False,True
20,13,26058,1,False,False,False
29,30,111213,5,False,True,False
43,22,101260,8,True,False,False
33,15,53404,1,True,False,True
68,17,128482,9,False,False,False
54,6,130284,1,False,True,False
39,9,54856,2,False,True,True
46,6,34200,6,False,False,True
31,0,89178,5,True,False,False
45,22,58997,7,True,False,True
22,20,50611,7,True,False,False
64,18,144273,5,False,False,True
66,15,66235,10,True,False,False
47,28,142428,9,False,False,False
63,18,60057,2,False,False,False
69,3,26239,2,False,True,False
22,28,128674,0,True,False,True
29,27,139474,6,False,False,True
33,17,90661,4,True,False,True
43,1,70272,3,True,False,True
43,0,114393,9,False,True,False
65,14,86212,3,True,False,False
38,4,149088,3,False,True,True
56,19,40398,5,False,False,True
53,10,145030,7,True,False,True
50,9,81503,7,False,False,True
47,30,31638,4,True,False,True
54,1,31570,5,False,False,False
40,2,93785,3,True,False,False
27,22,34110,10,True,False,False
22,22,130899,8,True,False,True
53,11,104141,7,True,False,True
51,19,37115,9,True,False,True
69,4,64062,9,True,False,True
48,4,47911,0,True,False,False
27,5,129061,1,True,False,False
36,29,57556,8,True,False,True
49,8,103131,7,False,False,False
18,1,26969,2,False,True,False
22,20,68753,7,True,False,True
62,11,107811,0,False,True,True
21,2,29470,9,True,False,True
33,19,146863,3,True,False,True
41,25,35225,2,False,False,True
33,21,132860,5,False,False,True
19,11,148008,6,False,True,False
66,23,132510,3,False,False,False
45,16,133295,6,False,False,True
49,9,48196,8,False,True,False
44,29,130823,10,False,False,True
37,23,38669,1,True,False,True
41,26,62380,10,False,True,True
29,13,149398,2,False,True,True
67,22,135677,4,True,False,False
52,16,140886,2,False,False,True
50,17,73320,10,False,True,False
50,18,72414,7,False,True,True
68,16,128542,9,True,False,True
60,13,40577,7,True,False,True
54,8,113009,7,False,False,False
29,7,80409,8,False,True,True
20,1,53625,3,False,False,True
18,12,106040,4,False,False,True
50,24,49089,4,True,False,False
57,6,61487,7,False,True,False
27,8,90838,6,False,True,False
60,21,121999,8,False,True,True
61,21,135448,7,True,False,False
46,10,119795,1,True,False,True
30,13,75138,9,True,False,False
29,3,67823,3,True,False,False
48,25,62208,5,True,False,True
63,25,79061,1,False,True,False
19,28,55659,6,False,False,True
68,12,126376,2,False,True,True
67,1,56890,2,False,False,False
52,22,104134,10,True,False,True
40,4,72055,1,False,False,True
34,10,137269,10,False,True,False
43,5,44508,7,False,True,False
25,17,67287,5,False,False,True
46,20,103916,0,True,False,False
43,9,51984,0,True,False,True
27,3,135169,6,False,True,True
43,8,33125,7,False,False,False
51,5,61059,4,True,False,False
68,1,94569,10,True,False,False
58,16,128409,4,False,True,False
24,4,42087,3,True,False,True
21,24,131437,5,False,False,True
67,5,140262,5,False,True,False
62,25,30704,2,False,True,False
28,11,85576,8,False,False,True
46,22,98384,10,False,True,True
53,20,112128,6,True,False,True
42,9,136279,0,True,False,True
38,21,97460,6,False,False,False
53,20,52208,4,True,False,True
27,26,143516,4,False,False,True
54,24,110150,1,False,False,False
26,30,91024,3,True,False,True
41,5,64882,5,False,False,True
52,26,50923,9,True,False,False
66,7,139044,10,False,True,False
52,1,126477,6,False,True,False
65,11,54165,10,False,False,True
53,12,92203,4,True,False,True
35,24,116749,8,True,False,False
66,20,29114,2,False,True,False
56,6,89965,0,False,True,True
49,9,61321,3,True,False,False
41,12,98297,8,False,False,False
40,16,121652,3,False,True,False
49,25,124304,1,False,False,True
54,20,138942,9,False,False,True
29,27,50426,4,False,True,True
66,29,42772,2,False,False,True
30,25,128754,8,False,False,True
40,13,28712,3,True,False,True
42,1,26367,5,False,False,False
52,27,131493,1,True,False,True
58,21,132317,5,False,True,True
47,10,140142,2,False,True,False
34,0,116736,8,True,False,True
66,18,76924,10,False,True,True
37,20,28726,1,False,False,False
65,3,114152,8,False,False,False
42,18,52723,4,False,False,False
39,25,128110,7,False,True,True
30,28,125494,1,False,False,False
36,20,34108,5,False,True,True
66,10,102714,2,False,False,True
53,7,60643,9,True,False,True
29,10,56324,4,False,True,True
58,3,128896,7,False,True,False
36,16,108360,9,False,False,False
29,26,135896,0,False,True,True
26,6,33927,4,False,True,False
24,7,118680,2,True,False,True
45,2,121546,3,True,False,True
31,21,47443,1,False,False,True
48,1,104973,8,True,False,False
69,22,88449,2,False,False,True
36,14,134834,1,False,False,True
64,23,130314,9,False,False,False
33,21,101743,10,False,True,False
22,21,146805,8,True,False,False
52,4,85233,6,False,False,False
29,23,50537,5,True,False,True
42,0,126293,0,False,False,False
69,25,102576,4,True,False,True
38,3,132522,10,True,False,False
53,14,47612,10,False,False,False
40,19,118977,2,False,True,False
33,18,31471,0,True,False,False
56,2,60631,3,False,True,False
62,19,133997,1,False,True,False
59,10,117059,1,False,False,True
56,16,56348,2,False,False,False
31,29,89732,7,False,False,False
48,26,26177,7,True,False,False
22,12,29760,6,False,False,False
52,10,57779,5,False,False,True
40,1,46636,8,True,False,False
46,8,106889,3,True,False,False
60,25,78551,0,False,False,False
28,1,36556,7,False,False,False
35,20,52598,6,False,False,True
64,8,36563,6,False,False,False
29,8,71819,2,False,True,True
26,7,134326,3,False,True,False
27,16,98770,9,False,False,True
61,0,116055,8,False,True,True
34,24,51966,5,True,False,False
55,28,145133,4,False,True,False
24,10,106709,2,False,True,True
63,7,84889,8,False,False,True
30,9,51987,4,False,True,False
57,24,103714,4,False,True,True
59,6,129874,3,False,True,True
26,2,83348,3,False,True,True
67,2,49596,0,True,False,False
44,17,58174,6,False,False,True
19,4,89106,8,False,False,True
22,11,132510,2,True,False,True
46,11,94967,1,False,True,False
54,18,84182,2,True,False,False
55,29,118300,0,False,True,True
36,5,112163,5,True,False,False
25,1,64310,10,False,False,True
65,11,81088,10,False,False,False
62,18,33906,6,False,False,False
18,4,61914,10,False,True,True
39,11,135350,10,False,True,False
69,26,70379,1,True,False,False
34,26,103612,7,True,False,False
24,16,139828,5,False,False,True
42,28,62650,3,False,True,False
62,16,71881,4,True,False,False
21,9,71413,7,False,True,True
53,24,31012,2,False,True,False
23,22,75115,2,False,False,False
48,16,32151,10,False,False,False
36,14,82716,3,False,True,False
61,11,118747,0,False,True,False
56,29,117653,8,False,True,True
44,15,61378,7,False,True,True
27,23,67652,7,False,False,False
43,18,97430,9,True,False,False
36,7,38467,5,False,False,False
56,30,56010,6,True,False,True
20,20,146999,5,False,True,True
62,16,139793,8,True,False,False
30,22,79691,2,False,False,False
67,4,89157,2,False,False,True
45,21,133177,2,False,True,False
37,15,37289,9,False,False,True
45,5,69976,2,False,True,True
25,7,68596,8,False,False,False
58,24,48171,3,False,False,True
56,17,125441,6,False,True,False
18,24,111365,8,True,False,False
20,11,143218,10,False,False,False
30,14,124590,6,True,False,False
45,26,139014,8,False,False,False
66,25,69139,2,False,False,False
42,8,73713,3,False,False,True
50,12,54734,7,False,False,True
55,25,97588,5,True,False,True
23,14,88646,4,True,False,True
61,9,28654,3,False,False,False
62,15,114022,7,False,False,True
49,6,43743,0,True,False,True
62,16,73368,8,False,True,True
64,22,115025,0,False,True,False
38,25,99172,7,True,False,True
33,20,31441,3,False,False,False
38,21,144735,8,False,False,True
28,25,49611,10,False,True,False
54,6,144891,4,False,True,False
53,13,132971,2,True,False,True
52,14,37149,8,False,True,False
36,20,125102,10,True,False,False
37,6,84189,8,False,True,True
35,8,132904,3,False,True,True
64,18,46675,10,False,True,True
58,15,96031,3,False,False,False
66,7,67668,7,False,False,False
31,17,38673,1,False,False,False
32,26,101666,8,False,True,True
48,22,113204,5,True,False,False
18,28,105758,8,True,False,False
20,17,90429,7,True,False,False
33,30,48669,6,True,False,False
40,29,59068,0,False,False,False
28,19,113789,2,False,False,False
29,6,34435,10,False,True,False
27,2,119088,1,False,True,True
49,17,77249,4,True,False,True
33,26,62384,4,False,False,True
25,9,106929,4,True,False,False
55,6,101153,3,False,True,False
29,16,129056,4,False,True,True
41,13,100388,2,True,False,False
45,30,56401,0,False,True,True
25,23,96831,4,True,False,False
45,2,144503,8,False,False,False
53,11,140760,8,True,False,True
43,27,126529,3,False,False,True
25,12,59084,2,False,False,True
67,1,145387,0,False,True,True
45,2,135641,1,False,True,True
45,4,130111,7,False,True,False
54,10,80826,0,True,False,False
58,7,61451,7,True,False,False
53,25,32227,6,False,True,True
44,22,56910,7,True,False,True
34,22,61041,5,False,True,True
26,11,113920,8,True,False,True
50,6,90681,2,False,False,True
37,14,128314,9,False,False,True
30,23,106571,3,False,True,False
45,16,90481,5,True,False,False
65,3,93576,7,True,False,False
46,28,132958,4,False,False,False
30,21,89174,2,False,False,False
63,24,51160,5,False,True,True
52,12,140170,3,False,False,True
23,17,142867,8,False,True,True
35,0,42633,2,False,False,True
68,15,119880,3,False,False,True
22,12,42014,6,True,False,True
64,9,105532,6,False,False,False
42,11,74104,3,False,False,True
19,29,66621,5,False,True,True
27,1,102231,2,False,False,True
47,22,93388,5,False,True,True
67,2,41014,1,False,False,False
62,9,117578,7,False,False,False
22,1,58755,1,False,True,True
50,29,65390,10,True,False,False
18,26,48711,6,False,True,False
35,22,116658,8,False,True,True
49,12,82993,0,False,True,True
64,12,99696,7,True,False,True
66,17,52213,6,False,False,True
28,2,140788,5,False,True,True
38,26,129956,5,False,True,False
43,6,82784,5,True,False,True
42,13,32421,8,False,True,True
39,19,111936,1,False,False,True
44,28,124073,0,True,False,False
66,29,42727,5,False,False,True
30,16,137418,9,False,False,True
50,28,29358,10,True,False,True
51,29,90108,7,False,True,False
58,20,119018,2,False,False,True
52,11,149457,9,False,False,True
18,24,57117,0,False,False,True
38,15,113700,8,False,False,False
65,23,56910,0,True,False,True
23,11,123032,2,True,False,True
45,14,80754,7,False,False,True
34,24,87438,2,False,True,False
22,9,134847,3,False,False,True
48,29,54371,7,False,True,True
22,24,76501,0,False,False,True
55,30,85946,5,False,True,False
20,6,63467,0,False,False,False
40,19,42625,0,False,True,True
54,4,58893,7,False,False,False
54,0,101329,10,False,False,False
27,29,56007,3,False,True,False
27,16,116302,0,True,False,True
36,2,64532,9,False,True,True
34,12,79253,6,True,False,False
38,13,37323,4,False,False,False
31,23,136335,4,False,True,False
26,29,137356,0,False,True,True
63,17,135944,9,False,True,True
18,3,98379,10,True,False,False
68,17,39210,5,True,False,False
62,29,41456,8,False,False,False
30,4,56367,8,True,False,False
21,24,79624,7,True,False,True
18,15,35106,4,False,False,False
66,0,128493,0,False,True,True
57,20,93008,8,False,True,False
49,13,140395,0,False,False,False
51,14,141492,7,False,True,False
45,8,97240,4,True,False,False
48,14,89315,2,False,False,False
25,16,94249,10,False,False,True
56,24,95587,6,False,False,False
43,23,35756,6,False,True,False
51,3,93011,8,False,False,False
20,11,61378,6,False,False,True
67,26,29255,10,False,False,True
29,25,39484,2,False,True,True
18,4,81549,10,True,False,True
61,28,59503,0,False,False,False
22,4,149465,7,True,False,False
47,10,98794,2,False,True,False
47,27,131283,7,False,True,True
34,5,125732,7,False,True,False
65,6,70113,4,False,True,False
64,23,130730,0,True,False,True
40,30,99069,9,False,False,True
32,13,123117,6,False,True,True
54,23,30249,9,False,True,False
38,10,144979,4,True,False,False
31,29,44201,7,True,False,True
19,12,83576,8,False,True,False
28,1,143562,10,False,False,True
68,24,34686,6,False,False,True
56,6,137413,6,False,True,False
55,19,78363,0,True,False,True
51,3,122543,3,False,True,True
55,26,25661,1,False,True,True
67,7,69843,1,True,False,False
51,19,120673,1,False,True,True
35,28,85963,3,False,True,True
47,30,138092,0,False,True,True
32,21,67828,3,True,False,True
44,20,73604,1,False,False,True
68,18,35526,4,False,False,True
51,12,93910,2,True,False,True
69,13,50592,7,False,False,False
55,9,53982,3,False,True,False
50,10,25207,0,False,False,True
41,1,125969,0,False,True,False
32,24,142181,9,False,False,False
47,25,113733,2,True,False,True
59,8,123936,8,False,False,False
68,16,149982,6,False,False,True
34,25,93619,1,False,False,True
22,2,54328,8,True,False,True
46,23,71479,9,False,False,True
21,5,133427,1,True,False,True
27,4,45103,2,False,True,False
34,4,64891,10,False,False,True
27,21,35754,9,True,False,False
34,14,124983,1,True,False,True
37,22,106437,2,False,False,True
41,16,123540,5,False,True,True
22,8,97982,8,True,False,False
51,2,127747,8,False,False,True
23,19,80922,6,False,True,True
19,25,73231,2,True,False,True
30,16,54301,3,True,False,True
60,28,116652,5,False,True,False
60,26,145787,10,False,True,True
65,9,87711,4,False,False,False
28,2,66323,1,False,False,True
68,17,43752,5,True,False,False
64,17,122912,2,False,True,False
40,29,107205,7,False,True,True
33,16,123452,1,False,True,True
48,23,38395,0,True,False,False
28,2,110957,8,False,True,True
