Age,Tenure,Income,Claims
54,18,84182,2
55,29,118300,0
36,5,112163,5
25,1,64310,10
65,11,81088,10
62,18,33906,6
18,4,61914,10
39,11,135350,10
69,26,70379,1
34,26,103612,7
24,16,139828,5
42,28,62650,3
62,16,71881,4
21,9,71413,7
53,24,31012,2
23,22,75115,2
48,16,32151,10
36,14,82716,3
61,11,118747,0
56,29,117653,8
44,15,61378,7
27,23,67652,7
43,18,97430,9
36,7,38467,5
56,30,56010,6
20,20,146999,5
62,16,139793,8
30,22,79691,2
67,4,89157,2
45,21,133177,2
37,15,37289,9
45,5,69976,2
25,7,68596,8
58,24,48171,3
56,17,125441,6
18,24,111365,8
20,11,143218,10
30,14,124590,6
45,26,139014,8
66,25,69139,2
42,8,73713,3
50,12,54734,7
55,25,97588,5
23,14,88646,4
61,9,28654,3
62,15,114022,7
49,6,43743,0
62,16,73368,8
64,22,115025,0
38,25,99172,7
33,20,31441,3
38,21,144735,8
28,25,49611,10
54,6,144891,4
53,13,132971,2
52,14,37149,8
36,20,125102,10
37,6,84189,8
35,8,132904,3
64,18,46675,10
58,15,96031,3
66,7,67668,7
31,17,38673,1
32,26,101666,8
48,22,113204,5
18,28,105758,8
20,17,90429,7
33,30,48669,6
40,29,59068,0
28,19,113789,2
29,6,34435,10
27,2,119088,1
49,17,77249,4
33,26,62384,4
25,9,106929,4
55,6,101153,3
29,16,129056,4
41,13,100388,2
45,30,56401,0
25,23,96831,4
45,2,144503,8
53,11,140760,8
43,27,126529,3
25,12,59084,2
67,1,145387,0
45,2,135641,1
45,4,130111,7
54,10,80826,0
58,7,61451,7
53,25,32227,6
44,22,56910,7
34,22,61041,5
26,11,113920,8
50,6,90681,2
37,14,128314,9
30,23,106571,3
45,16,90481,5
65,3,93576,7
46,28,132958,4
30,21,89174,2
63,24,51160,5
52,12,140170,3
23,17,142867,8
35,0,42633,2
68,15,119880,3
22,12,42014,6
64,9,105532,6
42,11,74104,3
19,29,66621,5
27,1,102231,2
47,22,93388,5
67,2,41014,1
62,9,117578,7
22,1,58755,1
50,29,65390,10
18,26,48711,6
35,22,116658,8
49,12,82993,0
64,12,99696,7
66,17,52213,6
28,2,140788,5
38,26,129956,5
43,6,82784,5
42,13,32421,8
39,19,111936,1
44,28,124073,0
66,29,42727,5
30,16,137418,9
50,28,29358,10
51,29,90108,7
58,20,119018,2
52,11,149457,9
18,24,57117,0
38,15,113700,8
65,23,56910,0
23,11,123032,2
45,14,80754,7
34,24,87438,2
22,9,134847,3
48,29,54371,7
22,24,76501,0
55,30,85946,5
20,6,63467,0
40,19,42625,0
54,4,58893,7
54,0,101329,10
27,29,56007,3
27,16,116302,0
36,2,64532,9
34,12,79253,6
38,13,37323,4
31,23,136335,4
26,29,137356,0
63,17,135944,9
18,3,98379,10
68,17,39210,5
62,29,41456,8
30,4,56367,8
21,24,79624,7
18,15,35106,4
66,0,128493,0
57,20,93008,8
49,13,140395,0
51,14,141492,7
45,8,97240,4
48,14,89315,2
25,16,94249,10
56,24,95587,6
43,23,35756,6
51,3,93011,8
20,11,61378,6
67,26,29255,10
29,25,39484,2
18,4,81549,10
61,28,59503,0
22,4,149465,7
47,10,98794,2
47,27,131283,7
34,5,125732,7
65,6,70113,4
64,23,130730,0
40,30,99069,9
32,13,123117,6
54,23,30249,9
38,10,144979,4
31,29,44201,7
19,12,83576,8
28,1,143562,10
68,24,34686,6
56,6,137413,6
55,19,78363,0
51,3,122543,3
55,26,25661,1
67,7,69843,1
51,19,120673,1
35,28,85963,3
47,30,138092,0
32,21,67828,3
44,20,73604,1
68,18,35526,4
51,12,93910,2
69,13,50592,7
55,9,53982,3
50,10,25207,0
41,1,125969,0
32,24,142181,9
47,25,113733,2
59,8,123936,8
68,16,149982,6
34,25,93619,1
22,2,54328,8
46,23,71479,9
21,5,133427,1
27,4,45103,2
34,4,64891,10
27,21,35754,9
34,14,124983,1
37,22,106437,2
41,16,123540,5
22,8,97982,8
51,2,127747,8
23,19,80922,6
19,25,73231,2
30,16,54301,3
60,28,116652,5
60,26,145787,10
65,9,87711,4
28,2,66323,1
68,17,43752,5
64,17,122912,2
40,29,107205,7
33,16,123452,1
48,23,38395,0
28,2,110957,8
33,2,146237,2
25,5,81273,10
21,12,116878,0
57,23,29895,6
21,28,144968,9
42,14,140700,4
20,24,101559,4
49,8,35699,0
20,3,90061,8
44,13,34715,6
46,4,44169,7
49,1,143413,8
67,10,41163,5
68,8,144264,4
36,23,30782,5
38,2,113177,10
22,26,149481,1
35,27,109328,3
45,28,140028,2
59,8,60585,6
39,2,55682,8
38,24,72864,4
23,1,109416,5
18,11,80114,9
22,9,63067,1
58,8,67685,2
29,14,147262,2
43,7,43073,8
63,24,61035,6
51,4,89977,7
66,10,127710,10
31,26,115373,9
43,1,108362,10
62,23,115517,8
44,27,90450,5
26,14,35382,3
43,5,29437,0
64,7,95971,7
39,26,89612,6
64,4,115355,1
47,15,86929,7
60,25,127411,4
65,17,122518,6
34,5,123864,3
43,4,37329,4
53,27,50169,7
18,15,112468,0
25,12,59594,0
66,27,101957,3
52,4,85631,2
69,12,70033,9
32,16,88133,1
64,17,98165,2
39,7,98861,10
31,12,77290,10
43,29,119031,10
45,28,56750,0
40,18,120155,0
31,25,65461,5
41,2,98800,4
19,23,103222,7
62,7,137020,1
43,1,49226,3
31,7,31721,7
68,26,81154,5
24,12,45609,0
20,12,77130,3
64,0,97909,0
40,5,129211,1
63,23,80249,4
60,18,73895,7
64,15,119473,7
62,7,30656,10
35,27,149865,2
55,0,99520,10
